target,input_set_id,input_set_name,num_features,model,transformation,effective_N,mean_R2,median_R2,sd_R2,RMSE,MAE,spearman_rho,pos_fold_count,pos_fold_pct
Mn_num,E5,E5_Full_Parsimonious_Easy_Panel,6,PLS,LOG1P,40,-1.0895,-0.2273,2.3715,0.9986,0.6706,0.2845,5,20.0
Mn_num,E5,E5_Full_Parsimonious_Easy_Panel,6,Lasso,RAW,40,-1.5604,-0.2502,2.8744,1.0229,0.7565,0.0321,3,12.0
Mn_num,E5,E5_Full_Parsimonious_Easy_Panel,6,Lasso,LOG1P,40,-0.5507,-0.1787,0.8931,0.9536,0.6472,0.0571,1,4.0
Mn_num,E5,E5_Full_Parsimonious_Easy_Panel,6,Ridge,RAW,40,-2.4407,-0.2565,5.1596,1.092,0.7925,0.1407,4,16.0
Mn_num,E5,E5_Full_Parsimonious_Easy_Panel,6,Ridge,LOG1P,40,-2.5454,-0.2333,7.7521,1.0807,0.7184,0.2473,4,16.0
Mn_num,E5,E5_Full_Parsimonious_Easy_Panel,6,ElasticNet,RAW,40,-1.7976,-0.1914,3.5475,1.0416,0.7637,0.114,4,16.0
Mn_num,E5,E5_Full_Parsimonious_Easy_Panel,6,ElasticNet,LOG1P,40,-0.9114,-0.2341,2.2637,0.976,0.6608,0.2346,3,12.0
Pb_num,E1,E1_Min2_FieldOnly,2,SVR_RBF,RAW,40,-0.7232,-0.1648,2.0661,0.9659,0.573,0.3162,9,36.0
Pb_num,E1,E1_Min2_FieldOnly,2,SVR_RBF,LOG1P,40,-1.2733,-0.1508,2.5917,1.0133,0.6105,0.2849,9,36.0
Pb_num,E1,E1_Min2_FieldOnly,2,PLS,RAW,40,-3.2129,-0.2728,7.0853,1.0838,0.6812,0.4459,8,32.0
Pb_num,E1,E1_Min2_FieldOnly,2,PLS,LOG1P,40,-1.3066,-0.1536,3.6569,0.9774,0.5987,0.4607,9,36.0
Pb_num,E1,E1_Min2_FieldOnly,2,Lasso,RAW,40,-2.5451,-0.1959,7.1519,1.0448,0.6639,0.3886,7,28.0
Pb_num,E1,E1_Min2_FieldOnly,2,Lasso,LOG1P,40,-1.0027,-0.1392,4.3352,0.9712,0.6033,0.1847,8,32.0
Pb_num,E1,E1_Min2_FieldOnly,2,Ridge,RAW,40,-3.0451,-0.2513,7.0032,1.0727,0.6735,0.4427,8,32.0
Pb_num,E1,E1_Min2_FieldOnly,2,Ridge,LOG1P,40,-1.21,-0.1521,3.6041,0.9705,0.5943,0.4569,8,32.0
Pb_num,E1,E1_Min2_FieldOnly,2,ElasticNet,RAW,40,-2.6544,-0.1896,7.0106,1.0498,0.6633,0.4147,8,32.0
Pb_num,E1,E1_Min2_FieldOnly,2,ElasticNet,LOG1P,40,-0.888,-0.0718,3.7853,0.9522,0.5852,0.3853,9,36.0
Pb_num,E2,E2_Min3_Field_Plus_Depth,3,SVR_RBF,RAW,40,-1.1471,-0.1168,3.2246,0.9942,0.6109,0.2707,10,40.0
Pb_num,E2,E2_Min3_Field_Plus_Depth,3,SVR_RBF,LOG1P,40,-1.6379,-0.1461,2.9373,1.0573,0.6472,0.2596,7,28.0
Pb_num,E2,E2_Min3_Field_Plus_Depth,3,PLS,RAW,40,-2.9124,-0.7109,5.6062,1.1019,0.7061,0.4239,6,24.0
Pb_num,E2,E2_Min3_Field_Plus_Depth,3,PLS,LOG1P,40,-0.8682,-0.0815,2.7747,0.9358,0.5815,0.4524,11,44.0
Pb_num,E2,E2_Min3_Field_Plus_Depth,3,Lasso,RAW,40,-2.3699,-0.1959,5.8888,1.0546,0.6821,0.3631,7,28.0
Pb_num,E2,E2_Min3_Field_Plus_Depth,3,Lasso,LOG1P,40,-1.0134,-0.1392,4.3336,0.9728,0.6051,0.1655,8,32.0
Pb_num,E2,E2_Min3_Field_Plus_Depth,3,Ridge,RAW,40,-2.934,-0.5776,5.5799,1.1019,0.7062,0.4255,6,24.0
